State,2022,2021,2020,2019,2018,2017,2017,2016,2015,,need
United States,"74,580","70,780","68,010","68,700","63,180","61,140","61,370","59,040","56,520",0,0
Alabama,"59,910","56,930","54,690","56,200","49,940","50,870","51,110","47,220","44,510",105621.8,1.763007845
Alaska,"89,740","81,130","74,750","78,390","68,730","77,990","72,230","75,720","75,110",153649.2156,1.712159746
Arizona,"73,450","70,820","67,090","70,670","62,280","59,700","61,130","57,100","52,250",111802.7409,1.52216121
Arkansas,"53,980","50,780","50,780","54,540","49,780","49,750","48,830","45,910","42,800",75584.57368,1.400232932
California,"85,300","81,580","77,650","78,110","70,490","70,040","69,760","66,640","63,640",339580.0832,3.981009182
Colorado,"89,930","84,950","83,780","72,500","73,030","74,980","74,170","70,570","66,600",209320.0047,2.327588176
Connecticut,"90,730","80,960","79,430","87,290","72,810","74,300","72,780","75,920","72,890",111183.8711,1.225436692
Delaware,"80,750","68,690","70,020","74,190","65,010","64,960","62,320","58,050","57,760",376918.5457,4.667721928
District of Columbia,"101,700","90,640","88,220","93,110","85,750","81,280","83,380","70,980","70,070",111582.7903,1.097175912
Florida,"65,370","59,730","57,760","58,370","54,640","53,090","53,680","51,180","48,830",114649.3574,1.753852798
Georgia,"67,730","61,500","59,270","56,630","55,820","57,990","57,020","53,530","50,770",137653.3675,2.032383988
Hawaii,"91,010","82,200","80,830","88,010","80,110","73,600","73,580","72,130","64,510",374414.8202,4.113996486
Idaho,"72,580","76,920","66,730","65,990","58,730","59,500","60,210","56,560","51,620",145004.5152,1.997857746
Illinois,"78,020","79,250","74,330","74,400","70,150","65,970","64,610","61,390","60,410",131945.4989,1.691175326
Indiana,"70,030","70,190","66,810","66,690","59,890","58,770","58,870","56,090","51,980",60080.36338,0.857923224
Iowa,"76,320","72,430","68,820","66,050","68,720","63,470","63,480","59,090","60,860",67663.88642,0.886581321
Kansas,"73,040","75,980","73,080","73,150","63,940","56,900","57,870","56,810","54,870",43096.21467,0.590035798
Kentucky,"55,880","55,630","56,760","55,660","54,560","49,670","51,350","45,370","42,390",59190.92232,1.059250578
Louisiana,"58,330","57,210","51,190","51,710","49,970","43,570","43,900","42,200","45,920",111657.6598,1.914240696
Maine,"75,160","71,140","63,690","66,550","58,660","53,320","51,660","50,860","50,760",138979.762,1.849118707
Maryland,"108,200","97,330","94,790","95,570","86,220","82,090","81,080","73,760","73,590",151977.4236,1.404597261
Massachusetts,"93,550","86,570","87,810","87,710","86,350","76,240","73,230","72,270","67,860",287317.0313,3.071267037
Michigan,"68,990","64,490","64,390","64,120","60,450","56,410","57,700","57,090","54,200",93269.20333,1.351923515
Minnesota,"90,390","80,440","78,750","81,430","71,820","69,980","71,920","70,220","68,730",125820.8245,1.39197726
Mississippi,"48,610","46,640","45,130","44,790","42,780","43,280","43,440","41,100","40,040",67852.60997,1.395857025
Missouri,"71,520","63,590","62,180","60,600","61,730","56,530","56,890","55,020","59,200",70640.26551,0.987699462
Montana,"72,980","65,000","56,740","60,200","57,680","57,410","59,090","57,080","51,400",150411.006,2.060989394
Nebraska,"78,360","78,110","72,250","73,070","67,580","59,580","59,620","59,370","60,470",77097.77371,0.983891956
Nevada,"72,330","64,340","61,160","70,910","61,860","58,040","56,550","55,430","52,010",101506.9077,1.403385977
New Hampshire,"84,970","88,840","88,890","86,900","81,350","75,630","74,800","76,260","75,680",118386.5929,1.39327519
New Jersey,"92,340","88,560","85,550","87,730","74,180","71,240","73,000","68,470","68,360",178303.5745,1.930946226
New Mexico,"56,420","53,460","50,910","53,110","48,280","45,600","47,860","48,450","45,120",114422.7117,2.028052317
New York,"75,910","72,920","68,660","71,860","67,270","61,540","62,450","61,440","58,010",313519.0018,4.13014098
North Carolina,"65,070","62,890","60,430","61,160","53,370","49,550","50,340","53,760","50,800",108349.1367,1.665116593
North Dakota,"78,720","68,880","64,120","70,030","66,510","60,170","59,890","60,180","57,420",101351.1522,1.28748923
Ohio,"67,520","62,690","60,380","64,660","61,630","60,690","59,770","53,990","53,300",63500.19408,0.94046496
Oklahoma,"63,440","60,100","52,470","59,400","54,430","51,880","55,010","50,940","47,080",52249.22116,0.823600586
Oregon,"86,780","81,860","76,860","74,410","69,170","62,500","64,610","59,140","60,830",212524.8775,2.449007577
Pennsylvania,"72,210","72,630","70,790","70,580","64,520","61,290","63,170","60,980","60,390",107991.3051,1.495517312
Rhode Island,"80,650","74,980","80,180","70,150","62,270","65,400","66,390","61,530","55,700",162761.2404,2.018118294
South Carolina,"61,770","62,540","60,340","62,030","57,440","54,540","54,970","54,340","46,360",113551.2358,1.838291012
South Dakota,"67,180","73,890","70,190","64,260","59,460","56,910","56,890","57,450","55,070",85879.16131,1.27834417
Tennessee,"65,380","62,170","54,980","56,630","56,060","55,310","55,240","51,340","47,330",137106.2462,2.097067088
Texas,"74,640","67,400","68,400","67,440","59,790","60,090","59,300","58,150","56,470",95854.9317,1.28423006
Utah,"95,800","87,650","83,990","84,520","77,070","69,790","71,320","67,480","66,260",175289.2445,1.829741592
Vermont,"72,190","76,080","67,260","74,310","70,070","63,680","63,810","60,840","59,490",139008.453,1.925591536
Virginia,"85,170","80,270","82,210","81,310","77,150","70,810","71,290","66,450","61,490",194157.6706,2.279648592
Washington,"89,430","87,650","81,360","82,450","79,730","71,540","75,420","70,310","67,240",252837.4525,2.827210696
West Virginia,"52,460","46,840","51,970","53,710","50,570","46,960","45,390","44,350","42,820",56260.07161,1.072437507
Wisconsin,"73,330","69,940","67,410","67,360","62,630","63,480","63,450","59,820","55,430",95934.13487,1.308252214
Wyoming,"73,090","71,050","65,450","65,130","62,540","59,540","57,840","57,830","60,930",148690.3515,2.034346032
